video_name,resolution,video_duration,category,benchmark,duration_seconds,total_frames,file_format,file_size_mb,aspect_ratio,fps
2-3_cam01_assault01_place04_night_spring.mp4,3840x2160,5:12,violence,PIA,312.4454666666667,9364,.mp4,750.96,1.78,29.97002997002997
20-3_cam02_assault01_place02_night_summer.mp4,3840x2160,5:14,violence,PIA,314.2139,9417,.mp4,450.17,1.78,29.97002997002997
23-3_cam01_assault01_place02_night_summer.mp4,3840x2160,5:0,violence,PIA,300.3,9000,.mp4,358.84,1.78,29.97002997002997
406-1_cam01_assault01_place03_day_summer.mp4,3840x2160,5:0,violence,PIA,300.3333666666667,9001,.mp4,428.29,1.78,29.97002997002997
8-1_cam01_assault03_place05_day_spring.mp4,3840x2160,5:0,violence,PIA,300.3,9000,.mp4,717.83,1.78,29.97002997002997
fight_0035.mp4,406x720,1:47,violence,PIA,107.27383333333333,3215,.mp4,11.04,0.56,29.97002997002997
fight_0062.mp4,640x360,1:12,violence,PIA,71.70496666666666,2149,.mp4,3.05,1.78,29.97002997002997
fight_0051.mp4,1280x720,2:0,violence,PIA,120.43333333333334,3599,.mp4,30.26,1.78,29.88375311375588
fight_0097.mp4,1280x720,1:8,violence,PIA,68.00126666666667,2038,.mp4,6.47,1.78,29.97002997002997
fight_0125.mp4,1280x720,1:26,violence,PIA,86.01926666666667,2578,.mp4,9.09,1.78,29.97002997002997
fight_0141.mp4,1280x720,3:11,violence,PIA,191.42456666666666,5737,.mp4,19.21,1.78,29.97002997002997
fight_0147.mp4,640x360,2:35,violence,PIA,154.73333333333335,4624,.mp4,9.45,1.78,29.88367083153813
fight_0156.mp4,1280x720,1:16,violence,PIA,76.0,2280,.mp4,10.58,1.78,30.0
fight_0162.mp4,1280x720,1:8,violence,PIA,67.86666666666666,2036,.mp4,8.28,1.78,30.0
20190102_013314A.mp4,3840x2160,15:0,fire,PIA,900.39,27013,.mp4,2477.09,1.78,30.001443818789635
화재 - 불피우기.mp4,1920x1080,2:40,fire,PIA,159.535675,4786,.mp4,76.23,1.78,29.999559659618452
화재 - 토치.mp4,1920x1080,8:44,fire,PIA,523.871349,15716,.mp4,249.98,1.78,29.999731861648346
Video34.mp4,292x240,15:1,fire,PIA,901.0485436893204,7734,.mp4,1.71,1.22,8.583333333333334
Video5.mp4,320x240,3:7,fire,PIA,187.33333333333334,4496,.mp4,4.82,1.33,24.0
Video49.mp4,320x240,1:9,fire,PIA,69.08333333333333,1658,.mp4,2.7,1.33,24.0
Video149.mp4,854x480,0:30,fire,PIA,29.996663329996665,899,.mp4,5.37,1.78,29.97
Video261.mp4,292x240,15:0,fire,PIA,900.1199999999999,7501,.mp4,4.09,1.22,8.333333333333334
fire_general-fire_rgb_0002_cctv1.mp4,1920x1080,0:7,fire,PIA,7.0,189,.mp4,5.58,1.78,27.0
fire_general-fire_rgb_0065_cctv4.mp4,1920x1080,0:9,fire,PIA,8.525191858525192,511,.mp4,47.03,1.78,59.94
fire_general-fire_rgb_0070_cctv3.mp4,1920x1080,0:12,fire,PIA,12.479145812479146,748,.mp4,73.64,1.78,59.94
fire_general-fire_rgb_0083_cctv2.mp4,1920x1080,0:10,fire,PIA,9.743076409743077,584,.mp4,55.54,1.78,59.94
fire_general-fire_rgb_0559_cctv1.mp4,1920x1080,0:10,fire,PIA,10.477143810477145,628,.mp4,81.13,1.78,59.94
fire_general-fire_rgb_0556_cctv2.mp4,1920x1080,0:9,fire,PIA,9.376042709376042,562,.mp4,65.8,1.78,59.94
fire_general-fire_rgb_0530_cctv1.mp4,1920x1080,0:12,fire,PIA,12.028695362028696,721,.mp4,87.26,1.78,59.94
fire_general-fire_rgb_0514_cctv2.mp4,1920x1080,0:8,fire,PIA,8.241574908241574,494,.mp4,59.32,1.78,59.94
fire_general-fire_rgb_0475_cctv1.mp4,1920x1080,0:9,fire,PIA,9.426092759426092,565,.mp4,73.66,1.78,59.94
fire_general-fire_rgb_0460_cctv2.mp4,1920x1080,0:11,fire,PIA,11.16116116116116,669,.mp4,80.93,1.78,59.94
fire_general-fire_rgb_0356_cctv1.mp4,1920x1080,0:9,fire,PIA,9.376042709376042,562,.mp4,79.11,1.78,59.94
fire_general-fire_rgb_0331_cctv2.mp4,1920x1080,0:7,fire,PIA,6.773440106773441,406,.mp4,52.11,1.78,59.94
fire_general-fire_rgb_0305_cctv3.mp4,1920x1080,0:10,fire,PIA,10.226893560226895,613,.mp4,84.28,1.78,59.94
fire_general-fire_rgb_0291_cctv1.mp4,1920x1080,0:4,fire,PIA,4.170837504170838,250,.mp4,22.08,1.78,59.94
fire_general-fire_rgb_0280_cctv4.mp4,1920x1080,0:4,fire,PIA,4.087420754087421,245,.mp4,21.92,1.78,59.94
fire_general-fire_rgb_0562_cctv7.mp4,1920x1080,0:7,fire,PIA,7.0,203,.mp4,7.62,1.78,29.0
fire_general-fire_rgb_0337_cctv2.mp4,1920x1080,0:7,fire,PIA,7.0,203,.mp4,5.37,1.78,29.0
fire_general-fire_rgb_0289_cctv2.mp4,1920x1080,0:7,fire,PIA,7.0,203,.mp4,7.74,1.78,29.0
fire_oil-fire_rgb_0002_cctv2.mp4,1920x1080,0:6,fire,PIA,6.0,180,.mp4,5.28,1.78,30.0
fire_oil-fire_rgb_0222_cctv4.mp4,1920x1080,0:6,fire,PIA,6.0,180,.mp4,6.37,1.78,30.0
fire_oil-fire_rgb_0445_cctv7.mp4,1920x1080,0:6,fire,PIA,6.0,174,.mp4,4.19,1.78,29.0
Explosion004_x264.mp4,320x240,1:3,fire,PIA,63.4,1902,.mp4,8.04,1.33,30.0
Explosion005_x264.mp4,320x240,0:23,fire,PIA,23.1,693,.mp4,5.46,1.33,30.0
Explosion009_x264.mp4,320x240,0:37,fire,PIA,36.7,1101,.mp4,9.13,1.33,30.0
Explosion010_x264.mp4,320x240,1:23,fire,PIA,83.26666666666667,2498,.mp4,11.58,1.33,30.0
Explosion013_x264.mp4,320x240,1:51,fire,PIA,110.56666666666666,3317,.mp4,15.66,1.33,30.0
Explosion014_x264.mp4,320x240,0:43,fire,PIA,43.06666666666667,1292,.mp4,6.24,1.33,30.0
Explosion017_x264.mp4,320x240,0:55,fire,PIA,54.766666666666666,1643,.mp4,12.31,1.33,30.0
Explosion002_x264.mp4,320x240,2:14,fire,PIA,133.76666666666668,4013,.mp4,18.32,1.33,30.0
Explosion051_x264.mp4,320x240,1:34,fire,PIA,94.0,2820,.mp4,13.52,1.33,30.0
119-1_cam01_swoon01_place03_day_summer.mp4,3840x2160,4:60,falldown,PIA,299.9997,8991,.mp4,810.22,1.78,29.97002997002997
100-5_cam02_swoon01_place02_day_summer.mp4,3840x2160,5:21,falldown,PIA,321.38773333333336,9632,.mp4,451.85,1.78,29.97002997002997
FILE210101-012606F.MOV,3840x2160,15:0,falldown,PIA,900.0324666666667,26974,.mov,3362.23,1.78,29.97002997002997
118-2_cam01_swoon02_place10_day_spring.mp4,3840x2160,5:0,falldown,PIA,300.3,9000,.mp4,442.05,1.78,29.97002997002997
108-5_cam02_swoon01_place06_night_spring.mp4,3840x2160,4:56,falldown,PIA,296.22926666666666,8878,.mp4,718.68,1.78,29.97002997002997
FILE210101-003713F.MOV,3840x2160,15:0,falldown,PIA,900.0324666666667,26974,.mov,3362.27,1.78,29.97002997002997
FILE210101-010727F.MOV,3840x2160,15:0,falldown,PIA,900.0324666666667,26974,.mov,3362.04,1.78,29.97002997002997
245-5_cam02_swoon01_place04_night_spring.mp4,3840x2160,5:7,falldown,PIA,306.97333333333336,9200,.mp4,369.43,1.78,29.97002997002997
115-1_cam01_swoon01_place02_night_spring.mp4,3840x2160,5:8,falldown,PIA,308.2746333333333,9239,.mp4,362.95,1.78,29.97002997002997
110-2_cam01_swoon01_place01_day_spring.mp4,3840x2160,4:55,falldown,PIA,295.06143333333335,8843,.mp4,709.46,1.78,29.97002997002997
FILE210101-005228F.MOV,3840x2160,15:0,falldown,PIA,900.0324666666667,26974,.mov,3362.06,1.78,29.97002997002997
114-2_cam01_swoon03_place03_day_spring.mp4,3840x2160,5:6,falldown,PIA,306.306,9180,.mp4,438.87,1.78,29.97002997002997
117-1_cam02_swoon01_place04_night_spring.mp4,3840x2160,5:8,falldown,PIA,308.4081,9243,.mp4,747.54,1.78,29.97002997002997
104-2_cam01_swoon01_place04_day_spring.mp4,3840x2160,5:6,falldown,PIA,305.7054,9162,.mp4,742.15,1.78,29.97002997002997
103-1_cam01_swoon01_place04_day_spring.mp4,3840x2160,5:8,falldown,PIA,307.5072,9216,.mp4,746.19,1.78,29.97002997002997
99-4_cam03_swoon01_place03_day_winter.mp4,3840x2160,5:7,falldown,PIA,306.6396666666667,9190,.mp4,329.27,1.78,29.97002997002997
240-3_cam01_swoon01_place02_night_spring.mp4,3840x2160,5:8,falldown,PIA,308.04106666666667,9232,.mp4,330.92,1.78,29.97002997002997
115-5_cam02_swoon01_place02_night_spring.mp4,3840x2160,5:10,falldown,PIA,309.57593333333335,9278,.mp4,750.26,1.78,29.97002997002997
640-2_cam01_swoon01_place01_day_summer.mp4,3840x2160,5:0,falldown,PIA,300.3333666666667,9001,.mp4,425.3,1.78,29.97002997002997
517-3_cam03_swoon03_place04_night_winter.mp4,3840x2160,5:7,falldown,PIA,306.9066,9198,.mp4,330.13,1.78,29.97002997002997
107-1_cam01_swoon01_place06_night_spring.mp4,3840x2160,4:0,falldown,PIA,240.24,7200,.mp4,580.49,1.78,29.97002997002997
106-1_cam02_swoon01_place05_day_spring.mp4,3840x2160,5:1,falldown,PIA,300.56693333333334,9008,.mp4,430.69,1.78,29.97002997002997
110-1_cam01_swoon01_place01_day_spring.mp4,3840x2160,4:55,falldown,PIA,294.6276666666667,8830,.mp4,708.43,1.78,29.97002997002997
116-4_cam02_swoon01_place03_day_summer.mp4,3840x2160,5:7,falldown,PIA,306.53956666666664,9187,.mp4,340.57,1.78,29.97002997002997
109-5_cam02_swoon02_place01_night_summer.mp4,3840x2160,5:12,falldown,PIA,312.312,9360,.mp4,757.09,1.78,29.97002997002997
105-5_cam01_swoon01_place05_night_summer.mp4,3840x2160,5:11,falldown,PIA,311.34436666666664,9331,.mp4,333.82,1.78,29.97002997002997
112-6_cam01_swoon02_place01_night_summer.mp4,3840x2160,4:0,falldown,PIA,240.24,7200,.mp4,582.44,1.78,29.97002997002997
108-2_cam01_swoon01_place06_night_summer.mp4,3840x2160,4:60,falldown,PIA,299.7327666666667,8983,.mp4,726.91,1.78,29.97002997002997
120-1_cam02_swoon02_place06_day_summer.mp4,3840x2160,5:22,falldown,PIA,322.2219,9657,.mp4,781.36,1.78,29.97002997002997
113-2_cam02_swoon01_place08_day_summer.mp4,3840x2160,5:14,falldown,PIA,313.7134,9402,.mp4,450.0,1.78,29.97002997002997
